Sentence,label
眠い、眠れない。,2
表情筋が衰えてきてる｡まずいな…,2
やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。,0
おなかすいた…夜ご飯仲間募集｡,3
月末ミーティング終了｡いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!,2
外反母趾が悪化。なぜ?ヒール止めてるし幅広い靴しか履いてないのに｡本格的に治療すっかな｡,2
待ち人は来ないのではないかという疑念がふとよぎる｡涼しくなったなぁ｡,2
みんな幸せになったらいいなって、なんか普通にそう思う。日曜と月曜と火曜会った人たちありがとう。また明日からがんばろう｡オヤスミナサイ,3
投げかけたものは返ってくるので､なるべく良いものを投げていたいと思う｡しかし時には叶わないことがある｡そういったとき、自分は試されていると感じる｡そしてたいていの場合､私はその試練に敗ける｡,2
肉まん、サーモンロール、茶碗蒸し、納豆、シナモンロール｡暇やからって食べ過ぎた…(●´з｀●),0
次の月曜の19時から落語観たい人???,3
最強の二人、夢売る二人、愛と誠｡観たい映画、メモ…,3
結局映画にも落語にも整体にも行けず、せめて夕飯はと思ったのに怠けグセがついて､出前とってしまった｡全力で安静中♪,2
眠いのに眠れない…,2
今日カラーをしてもらったら鬼太郎ぽくなった｡仕事帰りに会った数名の知人にはいいやん!と言ってもらえて少し安心した｡でもね､ほんまはちょっとちゃうかな?って思ってるねん｡ま、来週まで楽しむか｡,2
鬼太郎ぽい体型の女子って…,2
腰が痛い日々を送っています。色んなことが段々面倒になってきた｡昨日の晩から数えて初めての食事｡エビマヨ!アボカド!サーモン!鶏トマト煮!ふじいちでカロリーを取り戻す!,3
経済ジャーナリスト金子さん(ほんまでっか出演)の訃報にびっくり｡病気みたい｡ご冥福をお祈りいたします｡,2
少し前から毎日のようにつきまとわれている｡姿が見えない日もあって油断してるときっちり現れて､最近では睡眠妨害までしてくる…もういい加減にしてほしい!!!,1
メルヘンに憧れがち｡現実を生きなければな。てか早く寝たい(>_<)!,2
今週も終わった!そして今から休みだ!明日は祝日か?何しよどこいこ!,3
寒いなぁ?鍋いこかな?,3
おなかすいた…orz,2
本が好きだ｡いや､立ち読み､流し読み､本に囲まれているのが好きだ｡standardbookstoreが近所にあったら､住むかもしれない｡,3
恥ずかしくない仕事をしよう。心からそう思います。,3
西田辺は雷雨!!,0
この性格の悪さを何とかしたい…,2
ほぼ毎日、パックのジュースをコンビニで買います。今日、袋の中にはジュースと割り箸が入ってました。眠かったんかな。,0
世の迷える女子に告ぐ。ニーハイの威力は、想像以上だ。,3
結局、わがままなんだな。己の幼さが歯がゆい。,2
観たい映画。新しい靴を買わなくちゃ、終の信託。メモ…,3
食材はその日食べる分しか買わないので、休日は出かけるまでほとんど食べられないことになる。でもこの胃と腸がが空になってく感じが好きだったりする。体が少し浄化されたような？アブナイ人ではないですよ。多分,0
同年代の女子が何を考え、どのように暮らしているか気になる。同い年と聞けばなおさら。最近気になる人。峰なゆかという女（ひと）…,3
旅に出たい…,3
職場でお寿司連れてってもらってお腹パンパン！デザートまで出してもらって大満足。苦しくなるほど食べられるなんて幸せじゃないか。,0
住む家がある、職がある、ちゃんと靴を履いて、毎日食べられる。離れていても家族や友達がいる。なんだ、必要なものは十分にあるじゃないか。,0
噂の壇蜜さんのブログが何となく面白い。,0
今最も胸をはだけさせられベッドやソファに寝転がらされる男、生田斗真。すごいよ生田斗真。てれび戦士だったのに…,0
ハモネプ好き。,0
To be continuedの人、最近キモい人の役多いな…,0
100をゼロにするのは無理ですが、 20くらいにはできます。50くらいのものなら、もうそれはゼロと同じです。,3
水樹奈々っていくつなんやろ？AKBに混ざってもわからなそうな衣装にヘアメイク。,3
はたと気づけば、生まれてこのかた新幹線に乗ったのは多分一度だけ。新幹線の駅めずらしー！新大阪駅探検、なう。,0
とにかく暖まらないと話にならないので、ご飯作ります！久しぶり！,0
あぁあ～小朝師匠！自慢の金髪が！金髪がぁ…！,2
ぼくらの思春期を支えたHEY!HEY!HEY!が最終回だよ！懐かしいな～,0
あと30秒で、HEY!HEY!HEY!が、終わる！,2
はんばーぐたべたい。,3
今日初めてアスリートみたいに腰に注射したんだけど、なかなか痛くて打つまえより痛くなったんだけど大丈夫なんだろーか,2
焼き肉いきたい。,3
オムライスでもいいなぁ～♪,3
後藤の泳げたい焼きくん…ジャズってかブルースぽいような…,0
忙しくて体痛いし眠いしゲームする余裕がない,2
りあるキッズのメガネ久々に見た！前々からきづいてはいたけど、ますますあかん感じに…,2
実家の母は、普段話し相手がいないのか、たまに帰るとむちゃくちゃ喋ってくる。今回、風邪気味で無口だったので、静かな正月となった。二泊三日の最終日、私を送り出す駅のホームで急に喋りだした。え、今？ どうやら風邪は治ったようです。,0
休み明けに「雰囲気変わったな!」てなるの好き。明日からまた頑張ります!!オヤスミナサイ,3
今年初稽古。一時間前からいく気満々だったのに、五分前からめっちゃめんどくなってきた。,2
